Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
Военный билет серия АМ  № 607666 принадлежал Савинскому Александру Николаевичу. Выдан Мильковским районным военным комиссариатом 3 марта 1948 г. ,,"Краевое государственное бюджетное учреждение ""Камчатский краевой объединенный музей""",1303,115914,null,"[""бумага"",""коленкор""]",1948 г.,"Камчатская обл., с. Мильково",,,"11 х 8,3",,1,"[{""id"":6874385,""code"":""6874385"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874385""},{""id"":6874386,""code"":""6874386"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874386""}]",9882293,2017-12-12T02:37:00.664Z,,ККОМ ОФ-37966,10000262,,,,,,,,,,,,,1948-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,,,,,,,,
Подзор,,"Краевое государственное бюджетное учреждение культуры ""Историко-этнографический музей-заповедник ""Шушенское""",2678,111631,2442000025,"[""ткань х/б"",""нитки х/б""]",1950-е гг.,"РСФСР, Красноярский край, г. Красноярск",,,194х129 см,"Подзор для застилания кровати изготовлен из хлопчатобумажной ткани белого цвета., с, нижний край украшен кружевом, сшит из двух полотен,нижний край украшен кружевом, выполненным крючком из хлопчатобумажных ниток белого цвета., рисунок геометрический - ромбы, кружево состоит из двух частей, соединённых между собой узкой полосой хлопчатобумажной ткани. Низ кружева оформлен в виде зубцов.",1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/37362741""},{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/37362740""}]",9882294,2017-12-12T02:37:23.062Z,ТК 1455,ШМЗ-ОФ 48055,10000265,,,,,,,,,,,,,,,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Карточка почтовая.,,"Муниципальное казенное учреждение культуры ""Шелаболихинский районный музей"" муниципального образования Шелаболихинский район Алтайского края",1246,132394,2290003195,,1964,,,,"10,5х15","Карточка почтовая. С надписью ""Поздравляем вас с праздником весны, мира и труда. ...""",1,"[{""id"":6874369,""code"":""6874369"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874369""}]",9882295,2017-12-12T02:39:14.681Z,,ШРМ ОФ 4237,10000266,,,,,,,,,,,,,,,YEAR,,,,6,предметы печатной продукции,16,,,,,,,,
Почтовая карточка.,,"Муниципальное казенное учреждение культуры ""Шелаболихинский районный музей"" муниципального образования Шелаболихинский район Алтайского края",1246,132394,2290003195,,1956,,,,"10,5х14,8",Почтовая карточка. С надписью 08.03.1957 г.,1,"[{""id"":6874363,""code"":""6874363"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874363""}]",9882296,2017-12-12T02:39:14.681Z,,ШРМ ОФ 4236,10000250,,,,,,,,,,,,,,,YEAR,,,,6,предметы печатной продукции,16,,,,,,,,
Открытое письмо.,,"Муниципальное казенное учреждение культуры ""Шелаболихинский районный музей"" муниципального образования Шелаболихинский район Алтайского края",1246,132394,2290003195,,1956,,,,"9,2х14х2",Открытое письмо. С надписью 26.12.1956 г.,1,"[{""id"":6874354,""code"":""6874354"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874354""}]",9882297,2017-12-12T02:39:14.681Z,,ШРМ ОФ 4235,10000242,,,,,,,,,,,,,,,YEAR,,,,6,предметы печатной продукции,16,,,,,,,,
Почтовая карточка.,,"Муниципальное казенное учреждение культуры ""Шелаболихинский районный музей"" муниципального образования Шелаболихинский район Алтайского края",1246,132394,2290003195,,1956,,,,"10,3х14,5",Почтовая карточка. С надписью 25.04.1957. г.,1,"[{""id"":6874351,""code"":""6874351"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874351""}]",9882298,2017-12-12T02:39:14.681Z,,ШРМ ОФ 4234,10000238,,,,,,,,,,,,,,,YEAR,,,,6,предметы печатной продукции,16,,,,,,,,
Почтовая карточка.,,"Муниципальное казенное учреждение культуры ""Шелаболихинский районный музей"" муниципального образования Шелаболихинский район Алтайского края",1246,132394,2290003195,,1954,,,,"10,7х15",Почтовая карточка. С надписью.,1,"[{""id"":6874344,""code"":""6874344"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874344""}]",9882299,2017-12-12T02:39:14.681Z,,ШРМ ОФ 4233,10000235,,,,,,,,,,,,,,,YEAR,,,,6,предметы печатной продукции,16,,,,,,,,
Открытое письмо.,,"Муниципальное казенное учреждение культуры ""Шелаболихинский районный музей"" муниципального образования Шелаболихинский район Алтайского края",1246,132394,2290003195,,1954,,,,"10,5х15",Открытое письмо. С надписью 07.02.1955,1,"[{""id"":6874318,""code"":""6874318"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874318""}]",9882300,2017-12-12T02:39:14.681Z,,ШРМ ОФ 4232,10000229,,,,,,,,,,,,,,,YEAR,,,,6,предметы печатной продукции,16,,,,,,,,
Подзор,,"Краевое государственное бюджетное учреждение культуры ""Историко-этнографический музей-заповедник ""Шушенское""",2678,111631,2442000025,"[""ткань х/б"",""нитки х/б""]",1950-е гг.,"РСФСР, Красноярский край",,,190х54 см,"Подзор для застилания кровати изготовлен из хлопчатобумажной ткани белого цвета, по длине надставлен такой же тканью шириной 15,5 см, нижний край украшен кружевом, связанным крючком из хлопчатобумажных ниток белого цвета, рисунок геометрический, нижний край оформлен в виде зубцов.",1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/37362879""},{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/37362880""}]",9882303,2017-12-12T02:41:23.874Z,ТК 1456,ШМЗ-ОФ 48056,10000273,,,,,,,,,,,,,,,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874473,""code"":""6874473"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874473""},{""id"":6874474,""code"":""6874474"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874474""}]",9882304,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/11,10000307,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874471,""code"":""6874471"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874471""},{""id"":6874472,""code"":""6874472"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874472""}]",9882305,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/18,10000306,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874469,""code"":""6874469"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874469""},{""id"":6874470,""code"":""6874470"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874470""}]",9882306,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/23,10000305,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874465,""code"":""6874465"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874465""},{""id"":6874466,""code"":""6874466"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874466""}]",9882307,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/20,10000304,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874463,""code"":""6874463"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874463""},{""id"":6874464,""code"":""6874464"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874464""}]",9882308,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/8,10000303,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874461,""code"":""6874461"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874461""},{""id"":6874462,""code"":""6874462"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874462""}]",9882309,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/30,10000302,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874459,""code"":""6874459"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874459""},{""id"":6874460,""code"":""6874460"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874460""}]",9882310,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/2,10000301,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874457,""code"":""6874457"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874457""},{""id"":6874458,""code"":""6874458"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874458""}]",9882311,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/16,10000300,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874455,""code"":""6874455"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874455""},{""id"":6874456,""code"":""6874456"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874456""}]",9882312,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/12,10000299,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874453,""code"":""6874453"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874453""},{""id"":6874454,""code"":""6874454"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874454""}]",9882313,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/3,10000298,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874451,""code"":""6874451"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874451""},{""id"":6874452,""code"":""6874452"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874452""}]",9882314,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/29,10000297,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874449,""code"":""6874449"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874449""},{""id"":6874450,""code"":""6874450"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874450""}]",9882315,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/9,10000296,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874447,""code"":""6874447"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874447""},{""id"":6874448,""code"":""6874448"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874448""}]",9882316,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/21,10000295,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874444,""code"":""6874444"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874444""},{""id"":6874445,""code"":""6874445"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874445""}]",9882317,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/15,10000294,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874442,""code"":""6874442"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874442""},{""id"":6874443,""code"":""6874443"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874443""}]",9882318,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/6,10000293,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874440,""code"":""6874440"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874440""},{""id"":6874441,""code"":""6874441"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874441""}]",9882319,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/28,10000292,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874438,""code"":""6874438"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874438""},{""id"":6874439,""code"":""6874439"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874439""}]",9882320,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/17,10000291,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874436,""code"":""6874436"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874436""},{""id"":6874437,""code"":""6874437"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874437""}]",9882321,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/13,10000290,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874434,""code"":""6874434"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874434""},{""id"":6874435,""code"":""6874435"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874435""}]",9882322,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/5,10000289,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874432,""code"":""6874432"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874432""},{""id"":6874433,""code"":""6874433"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874433""}]",9882323,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/19,10000288,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
